,gene,members,origin,r_scores,snps
0,group10,137,0,0.198853297512,13
1,group1000,198,['chrm'],0.208437815324,70
2,group1001,198,['chrm'],0.175828793089,26
3,group1002,198,['chrm'],0.158272705074,44
4,group1003,198,['chrm'],0.13599309808,59
5,group10033,123,0,0.136498333327,172
6,group1004,198,['chrm'],0.110417211821,42
7,group1005,198,['chrm'],0.123700271518,71
8,group1006,198,['chrm'],0.104771771982,125
9,group1007,198,['chrm'],0.149029622964,39
10,group10076,127,0,0.114047546208,174
11,group10077,120,0,0.116176383419,290
12,group1008,198,['chrm'],0.172677168532,90
13,group10080,157,0,0.115607773927,63
14,group1009,198,['chrm'],0.147246144234,35
15,group1010,198,['chrm'],0.083370663661,120
16,group1011,198,['chrm'],0.143641520925,22
17,group10117,101,0,0.147974364848,18
18,group1012,198,['chrm'],0.104950671475,27
19,group1013,198,['chrm'],0.156659810657,45
20,group10138,123,0,0.152391191485,31
21,group10139,123,0,0.162140198546,29
22,group1014,198,['chrm'],0.142081690683,44
23,group10140,123,0,0.158413504943,158
24,group1015,198,['chrm'],0.110107764715,30
25,group1016,198,['chrm'],0.0992285406276,20
26,group1017,198,['chrm'],0.196352667321,38
27,group1018,184,0,0.150119411912,25
28,group1019,198,['chrm'],0.119493371989,72
29,group1020,198,['chrm'],0.139650984426,30
30,group1021,194,0,0.142173572217,238
31,group1022,198,['chrm'],0.165847158095,38
32,group1023,197,0,0.106886367092,26
33,group1024,197,0,0.112124342814,65
34,group1025,198,['chrm'],0.176695822441,31
35,group1026,198,['chrm'],0.216028334385,102
36,group1027,198,['chrm'],0.208686051177,165
37,group1028,198,['chrm'],0.130112981848,97
38,group1029,198,['chrm'],0.123452694608,57
39,group1030,198,['chrm'],0.164286133929,140
40,group1031,198,['chrm'],0.136184651168,67
41,group1032,198,['chrm'],0.183110154255,86
42,group1033,198,['chrm'],0.165276503602,146
43,group1034,198,['chrm'],0.219871832286,63
44,group1035,198,['chrm'],0.141848620005,69
45,group1036,198,['chrm'],0.122289176258,15
46,group10381,153,0,0.104245022113,30
47,group10385,143,0,0.164611662111,13
48,group1039,198,['chrm'],0.0695076043418,66
49,group1040,198,['chrm'],0.0954803450872,57
50,group1041,198,['chrm'],0.0933575105717,89
51,group1042,198,['chrm'],0.0900436742159,62
52,group1043,194,0,0.104654406837,62
53,group1044,198,['chrm'],0.0808637529537,53
54,group1045,197,0,0.157004170439,99
55,group1046,197,0,0.126903143441,76
56,group1047,198,['chrm'],0.200759684452,52
57,group1048,198,['chrm'],0.166628315396,19
58,group1049,198,['chrm'],0.160398270452,70
59,group1050,198,['chrm'],0.183689291489,206
60,group1051,198,['chrm'],0.118611015548,85
61,group1052,198,['chrm'],0.134804444269,58
62,group1053,198,['chrm'],0.148187289762,72
63,group1054,198,['chrm'],0.173844754646,26
64,group1055,198,['chrm'],0.147608703186,36
65,group1056,198,['chrm'],0.144918262817,49
66,group1057,198,['chrm'],0.171005702475,30
67,group1058,198,['chrm'],0.131867696544,51
68,group1059,198,['chrm'],0.178777134758,29
69,group1060,198,['chrm'],0.20233635373,64
70,group1061,198,['chrm'],0.183637610917,70
71,group1062,198,['chrm'],0.0986014415269,39
72,group1063,177,0,0.112405936757,25
73,group1064,198,['chrm'],0.087540601602,125
74,group1065,198,['chrm'],0.114902282,3
75,group1066,198,['chrm'],0.153889651775,20
76,group1067,198,['chrm'],0.0846645234769,2
77,group10672,121,0,0.121260183619,29
78,group10677,128,0,0.0967901264649,97
79,group1068,198,['chrm'],0.181867490324,52
80,group1069,198,['chrm'],0.162844705452,59
81,group1070,198,['chrm'],0.129707538458,4
82,group1071,198,['chrm'],0.224408543836,101
83,group1072,198,['chrm'],0.244071776487,80
84,group1073,198,['chrm'],0.215032642433,47
85,group1074,198,['chrm'],0.0661470489403,42
86,group1075,198,['chrm'],0.0712481651831,49
87,group1076,198,['chrm'],0.0856973506083,50
88,group1077,197,0,0.134045906581,59
89,group1078,198,['chrm'],0.165634509659,37
90,group1079,185,0,0.0434331878357,39
91,group1080,198,['chrm'],0.11835342515,17
92,group1081,198,['chrm'],0.100593796141,16
93,group1082,198,['chrm'],0.178997366995,17
94,group1083,198,['chrm'],0.157059496578,14
95,group1084,198,['chrm'],0.156485148412,26
96,group1085,198,['chrm'],0.148042517761,28
97,group1086,198,['chrm'],0.163512961866,28
98,group1087,198,['chrm'],0.198180436665,91
99,group1088,198,['chrm'],0.138598817998,145
100,group1089,198,['chrm'],0.152592933014,70
101,group1090,198,['chrm'],0.191160306947,73
102,group1091,198,['chrm'],0.189434683433,53
103,group1092,198,['chrm'],0.170840140699,24
104,group1093,198,['chrm'],0.208030728917,113
105,group1094,198,['chrm'],0.176381845539,120
106,group1095,198,['chrm'],0.140076686274,90
107,group1096,198,['chrm'],0.127303726099,31
108,group1097,198,['chrm'],0.155296607361,57
109,group1098,198,['chrm'],0.200423290441,28
110,group1099,198,['chrm'],0.178242603287,71
111,group11,180,0,0.12080163099,43
112,group1100,198,['chrm'],0.141617687847,37
113,group1101,198,['chrm'],0.130707608739,37
114,group11012,110,0,0.0825893126202,29
115,group1102,198,['chrm'],0.118862796216,16
116,group1103,174,0,0.107338180428,4
117,group1104,198,['chrm'],0.159683076519,71
118,group1105,198,['chrm'],0.161560046845,79
119,group1106,198,['chrm'],0.172222853875,15
120,group1107,198,['chrm'],0.13739753386,13
121,group1108,198,['chrm'],0.156827439598,9
122,group1109,198,['chrm'],0.184876445238,24
123,group1110,141,0,0.135277355151,28
124,group1111,198,['chrm'],0.174282741282,104
125,group1112,198,['chrm'],0.135863081702,10
126,group1113,198,['chrm'],0.164386930541,32
127,group1114,198,['chrm'],0.129075362646,29
128,group1115,198,['chrm'],0.158384652618,24
129,group1116,198,['chrm'],0.139076806577,10
130,group1117,198,['chrm'],0.118918440818,40
131,group1118,198,['chrm'],0.139328344897,57
132,group1119,196,0,0.121338624212,24
133,group1120,198,['chrm'],0.179455979998,59
134,group1121,196,0,0.16497054545,95
135,group1122,198,['chrm'],0.172953563716,92
136,group1123,198,['chrm'],0.109035749986,14
137,group1124,198,['chrm'],0.188774591196,58
138,group1125,198,['chrm'],0.163869400337,38
139,group1126,198,['chrm'],0.202884875314,106
140,group1127,186,0,0.083685842934,3
141,group1128,198,['chrm'],0.0851990018635,2
142,group1129,198,['chrm'],0.208509578753,90
143,group1130,198,['chrm'],0.195458206006,39
144,group1131,198,['chrm'],0.206717121517,69
145,group1132,198,['chrm'],0.130581548216,34
146,group1133,198,['chrm'],0.187764809098,209
147,group1134,198,['chrm'],0.12485954862,22
148,group1135,198,['chrm'],0.185280138582,66
149,group1136,198,['chrm'],0.162425267134,114
150,group1137,198,['chrm'],0.140369215392,48
151,group1138,198,['chrm'],0.167763565544,38
152,group1139,198,['chrm'],0.222133950662,82
153,group1140,198,['chrm'],0.191813380722,43
154,group1141,198,['chrm'],0.193205849539,37
155,group11412,101,0,0.113044685932,14
156,group1142,198,['chrm'],0.0934595349512,13
157,group1143,198,['chrm'],0.152268855668,51
158,group1144,198,['chrm'],0.21891252174,46
159,group1145,198,['chrm'],0.19326182224,80
160,group1146,197,0,0.115068833105,135
161,group1147,198,['chrm'],0.164224368254,99
162,group1148,198,['chrm'],0.171652368269,91
163,group1149,198,['chrm'],0.113844348888,18
164,group1150,198,['chrm'],0.165361884618,51
165,group1151,198,['chrm'],0.0973410253351,63
166,group1152,198,['chrm'],0.0834159315087,344
167,group1153,198,['chrm'],0.109206475067,310
168,group1154,198,['chrm'],0.156501862041,66
169,group1155,198,['chrm'],0.162426657064,42
170,group1156,180,0,0.1418489102,10
171,group1157,188,0,0.172673648669,18
172,group1159,198,['chrm'],0.148849786232,27
173,group1161,194,0,0.137255247471,51
174,group1162,198,['chrm'],0.13360495618,24
175,group12,180,0,0.147940072367,20
176,group1251,197,0,0.209044582737,110
177,group1260,198,['chrm'],0.0907674577671,42
178,group1261,198,['chrm'],0.23523419653,345
179,group1262,198,['chrm'],0.226782304516,149
180,group1263,197,0,0.240647477536,139
181,group1264,197,0,0.185129098604,77
182,group1265,198,['chrm'],0.199688546593,89
183,group1266,198,['chrm'],0.219652264078,108
184,group1267,198,['chrm'],0.191349201009,236
185,group1268,198,['chrm'],0.239475364024,120
186,group1269,198,['chrm'],0.18899162207,77
187,group1270,198,['chrm'],0.181315496767,13
188,group1271,198,['chrm'],0.201922931196,46
189,group1272,197,0,0.114399747263,23
190,group1273,198,['chrm'],0.23893635447,94
191,group1274,198,['chrm'],0.246335482177,133
192,group1275,198,['chrm'],0.212555946942,98
193,group1276,198,['chrm'],0.20203698974,72
194,group1277,197,0,0.221663156663,95
195,group1278,198,['chrm'],0.175165528148,84
196,group1279,198,['chrm'],0.158994156177,32
197,group1280,198,['chrm'],0.228511482439,115
198,group1281,198,['chrm'],0.131820091733,16
199,group1282,198,['chrm'],0.1770948313,62
200,group1283,198,['chrm'],0.222922400416,82
201,group1284,198,['chrm'],0.188610328034,75
202,group1285,198,['chrm'],0.195159261754,53
203,group1286,198,['chrm'],0.169869714452,58
204,group1287,198,['chrm'],0.154907302228,54
205,group1288,198,['chrm'],0.181773619739,59
206,group1289,197,0,0.174754087698,149
207,group1290,198,['chrm'],0.174838047085,60
208,group1291,198,['chrm'],0.146301627767,38
209,group1292,198,['chrm'],0.120727143974,16
210,group1293,198,['chrm'],0.147336760323,33
211,group1294,198,['chrm'],0.130014389702,28
212,group1295,198,['chrm'],0.105875457121,50
213,group1296,198,['chrm'],0.195883245767,160
214,group1297,198,['chrm'],0.172912644758,19
215,group1298,198,['chrm'],0.168801776176,42
216,group1299,198,['chrm'],0.178249574607,21
217,group1300,198,['chrm'],0.141376414624,10
218,group1301,198,['chrm'],0.146208276226,69
219,group1302,198,['chrm'],0.189421600603,126
220,group1303,197,0,0.147925151801,147
221,group1304,198,['chrm'],0.210003137203,36
222,group1305,198,['chrm'],0.134845388464,44
223,group1306,198,['chrm'],0.240236188565,157
224,group1307,198,['chrm'],0.207959950656,97
225,group1308,198,['chrm'],0.156876242203,76
226,group1309,198,['chrm'],0.145924499037,53
227,group1310,198,['chrm'],0.100677102661,87
228,group1311,198,['chrm'],0.0879558912231,83
229,group1312,198,['chrm'],0.126614503042,58
230,group1313,198,['chrm'],0.18747769681,59
231,group1314,198,['chrm'],0.118875240037,152
232,group1315,198,['chrm'],0.137152588772,35
233,group1316,198,['chrm'],0.136362502304,32
234,group1317,198,['chrm'],0.141259208192,39
235,group1318,198,['chrm'],0.159589035536,41
236,group1319,198,['chrm'],0.196698839522,92
237,group1320,198,['chrm'],0.15006883534,28
238,group1321,198,['chrm'],0.163454425583,41
