Seq ID	Genospecies
3320	gsA
3325	gsA
3326	gsA
3328	gsA
3329	gsA
3330	gsA
3338	gsA
3339	gsA
3341	gsA
3342	gsA
3343	gsA
3344	gsA
3345	gsA
3349	gsA
3350	gsA
3351	gsA
3352	gsA
3353	gsA
3354	gsA
3355	gsA
3366	gsA
3367	gsA
3369	gsA
3370	gsA
3371	gsA
3375	gsA
3376	gsA
3377	gsA
3378	gsA
3379	gsA
3380	gsA
3389	gsA
3390	gsA
3206	gsB
3207	gsB
3208	gsB
3209	gsB
3210	gsB
3211	gsB
3212	gsB
3213	gsB
3214	gsB
3215	gsB
3216	gsB
3217	gsB
3218	gsB
3219	gsB
3220	gsB
3221	gsB
3222	gsB
3223	gsB
3224	gsB
3225	gsB
3226	gsB
3227	gsB
3228	gsB
3229	gsB
3230	gsB
3231	gsB
3232	gsB
3233	gsB
3234	gsB
3235	gsB
3236	gsB
3237	gsB
3238	gsB
3260	gsB
3381	gsB
3239	gsC
3240	gsC
3241	gsC
3242	gsC
3244	gsC
3245	gsC
3246	gsC
3247	gsC
3248	gsC
3251	gsC
3252	gsC
3253	gsC
3254	gsC
3255	gsC
3256	gsC
3257	gsC
3258	gsC
3259	gsC
3856	gsC
3262	gsC
3263	gsC
3264	gsC
3265	gsC
3266	gsC
3267	gsC
3269	gsC
3270	gsC
3857	gsC
3272	gsC
3275	gsC
3276	gsC
3277	gsC
3278	gsC
3279	gsC
3280	gsC
3281	gsC
3858	gsC
3283	gsC
3284	gsC
3285	gsC
3286	gsC
3287	gsC
3288	gsC
3289	gsC
3290	gsC
3291	gsC
3292	gsC
3859	gsC
3294	gsC
3295	gsC
3296	gsC
3297	gsC
3298	gsC
3299	gsC
3300	gsC
3301	gsC
3302	gsC
3303	gsC
3304	gsC
3305	gsC
3306	gsC
3307	gsC
3308	gsC
3309	gsC
3310	gsC
3311	gsC
3312	gsC
3313	gsC
3314	gsC
3315	gsC
3316	gsC
3317	gsC
3318	gsC
3319	gsC
3321	gsC
3323	gsC
3324	gsC
3327	gsC
3331	gsC
3332	gsC
3333	gsC
3334	gsC
3335	gsC
3340	gsC
3346	gsC
3348	gsC
3356	gsC
3357	gsC
3358	gsC
3359	gsC
3360	gsC
3361	gsC
3363	gsC
3364	gsC
3365	gsC
3368	gsC
3372	gsC
3373	gsC
3374	gsC
3382	gsC
3383	gsC
3384	gsC
3385	gsC
3388	gsC
3391	gsC
3393	gsC
3394	gsC
3395	gsC
3396	gsC
3397	gsC
3398	gsC
3401	gsC
3402	gsC
3403	gsC
3404	gsC
3405	gsC
3249	gsD
3268	gsD
3273	gsD
3274	gsD
3392	gsD
3243	gsE
3250	gsE
3322	gsE
3336	gsE
3337	gsE
3347	gsE
3362	gsE
3386	gsE
3387	gsE
3399	gsE
3400	gsE
