qseqid,strain,contig,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,position
group1343,3210-7,3210-7_02128,unitig_0,96.52,1696,57,2,586,2280,1,1695,0,2804,1
group1342,3215-12,3215-12_02162,unitig_0,95.52,469,17,3,1,468,1700,2165,0,747,2
group1341,3209-6,3209-6_00693,unitig_0,94.39,909,51,0,1,909,2162,3070,0,1397,3
group1340,3207-4,3207-4_01601,unitig_0,95.21,1044,44,5,1,1044,3067,4104,0,1646,4
group1339,3209-6,3209-6_00695,unitig_0,97.44,390,10,0,1,390,4105,4494,0,665,5
group1338,3208-5,3208-5_04397,unitig_0,97.65,553,11,1,1,553,4491,5041,0,948,6
group1337,3207-4,3207-4_01604,unitig_0,97.17,389,11,0,1,389,5061,5449,0,658,7
group1336,3210-7,3210-7_02135,unitig_0,94.57,1695,78,12,1,1686,5562,7251,0,2608,8
group7158,3341-137B,3341-137B_02679,unitig_0,87.74,261,29,3,1,261,7477,7220,2.00E-82,302,9
group1335,3214-11,3214-11_03546,unitig_0,95.18,747,36,0,1,747,7698,8444,0,1181,10
group1334,3207-4,3207-4_01607,unitig_0,95.57,745,32,1,3,747,8456,9199,0,1192,11
group15618,3399-168A,3399-168A_04243,unitig_0,85,100,14,1,1,100,9252,9350,7.00E-22,100,12
group10205,3280-85,3280-85_00523,unitig_0,100,31,0,0,815,845,9352,9322,2.00E-08,58.4,13
group1333,3210-7,3210-7_02138,unitig_0,96.85,444,14,0,1,444,9853,9410,0,743,14
group1332,3207-4,3207-4_01609,unitig_0,93.7,1080,68,0,1,1080,10938,9859,0,1618,15
group1331,3214-11,3214-11_03542,unitig_0,97.5,1041,26,0,1,1041,12314,11274,0,1779,16
group1330,3208-5,3208-5_04389,unitig_0,97.11,588,17,0,1,588,12930,12343,0,992,17
group1329,3213-10,3213-10_04850,unitig_0,97.37,951,25,0,1,951,13946,12996,0,1618,18
group1328,3209-6,3209-6_00706,unitig_0,96,901,36,0,3,903,14847,13947,0,1465,19
group1327,3207-4,3207-4_01614,unitig_0,93.2,735,50,0,1,735,15074,15808,0,1081,20
group8733,3270-74,3270-74_04282,unitig_0,94,100,5,1,1,99,15851,15950,3.00E-37,150,21
group1326,3212-9,3212-9_04586,unitig_0,94.65,1401,75,0,1,1401,15928,17328,0,2172,22
group1325,3213-10,3213-10_04854,unitig_0,91.18,544,46,2,1,543,17331,17873,0,737,23
group1324,3208-5,3208-5_04383,unitig_0,94.91,393,20,0,1,393,18040,18432,1.00E-176,616,24
group1323,3209-6,3209-6_00711,unitig_0,95.2,417,20,0,1,417,18437,18853,0,660,25
group1322,3207-4,3207-4_01619,unitig_0,96.78,342,11,0,1,342,18857,19198,2.00E-163,571,26
group1321,3212-9,3212-9_04581,unitig_0,96.45,789,28,0,1,789,19218,20006,0,1303,27
group1320,3215-12,3215-12_02140,unitig_0,94.41,483,27,0,1,483,20022,20504,0,743,28
group1319,3211-8,3211-8_00842,unitig_0,93.4,1122,74,0,1,1122,20501,21622,0,1663,29
group1318,3208-5,3208-5_04377,unitig_0,94.48,543,30,0,1,543,21619,22161,0,837,30
group1317,3209-6,3209-6_00717,unitig_0,96.79,717,23,0,1,717,22158,22874,0,1197,31
group1316,3208-5,3208-5_04375,unitig_0,94.87,507,26,0,1,507,22887,23393,0,793,32
group1315,3208-5,3208-5_04374,unitig_0,96.34,738,27,0,1,738,23390,24127,0,1214,33
group1314,3208-5,3208-5_04373,unitig_0,93.41,1972,130,0,1,1972,26285,24314,0,2922,34
group1312,3209-6,3209-6_00722,unitig_0,88.75,907,94,7,1,903,26715,27617,0,1103,35
group1313,3214-11,3214-11_05403,unitig_0,98.12,906,17,0,1,906,26715,27620,0,1580,36
group1311,3212-9,3212-9_04571,unitig_0,81.12,890,137,24,31,906,26745,27617,0,684,37
group12505,3350-144B,3350-144B_02309,unitig_0,88.97,707,76,2,63,768,26912,27617,0,872,38
group11946,3217-14,3217-14_04157,unitig_0,86.17,94,11,2,921,1013,29825,29917,4.00E-21,100,39
group1310,3211-8,3211-8_00851,unitig_0,93.87,963,59,0,1,963,30270,31232,0,1452,40
group1309,3209-6,3209-6_00725,unitig_0,93.51,632,37,3,1,630,31436,32065,0,937,41
group1308,3214-11,3214-11_05408,unitig_0,93.96,1342,70,5,1,1341,32062,33393,0,2019,42
group1307,3210-7,3210-7_02164,unitig_0,93.83,1296,80,0,1,1296,33398,34693,0,1951,43
group1306,3214-11,3214-11_05410,unitig_0,88.5,1443,160,4,1,1437,34690,36132,0,1740,44
group1305,3209-6,3209-6_00729,unitig_0,95.93,541,19,3,18,556,36096,36635,0,874,45
group1304,3207-4,3207-4_01637,unitig_0,96.28,672,25,0,1,672,36918,37589,0,1103,46
group1303,3208-5,3208-5_04362,unitig_0,88.96,1314,121,16,1,1302,37715,39016,0,1602,47
group1302,3208-5,3208-5_04361,unitig_0,95.77,1488,63,0,1,1488,39036,40523,0,2399,48
group1301,3215-12,3215-12_02121,unitig_0,94.12,1054,54,4,1,1053,40527,41573,0,1596,49
group1300,3215-12,3215-12_02120,unitig_0,98.85,348,4,0,1,348,41608,41955,2.00E-178,621,50
group1299,3212-9,3212-9_04559,unitig_0,96.22,450,17,0,1,450,41952,42401,0,737,51
group1298,3211-8,3211-8_00863,unitig_0,94.24,417,24,0,1,417,42392,42808,0,638,52
group1297,3212-9,3212-9_04557,unitig_0,94.72,265,14,0,1,265,42926,43190,1.00E-115,412,53
group3863,3208-5,3208-5_00450,unitig_0,94.59,37,2,0,49,85,43189,43225,3.00E-08,58.4,54
group1296,3214-11,3214-11_05420,unitig_0,95.79,2088,88,0,1,2088,43407,45494,0,3369,55
group1295,3208-5,3208-5_04354,unitig_0,95.09,753,37,0,1,753,45491,46243,0,1186,56
group1294,3212-9,3212-9_04554,unitig_0,95.16,413,20,0,1,413,46248,46660,0,652,57
group1293,3214-11,3214-11_05423,unitig_0,96.1,564,22,0,1,564,46694,47257,0,920,58
group1292,3207-4,3207-4_01649,unitig_0,96.17,366,14,0,1,366,47382,47747,1.00E-171,599,59
group1291,3210-7,3210-7_02180,unitig_0,94.39,535,30,0,1,535,47747,48281,0,822,60
group1290,3212-9,3212-9_04550,unitig_0,93.33,840,56,0,1,840,48577,49416,0,1242,61
group10822,3391-164A,3391-164A_02344,unitig_0,89.09,55,5,1,144,198,49418,49471,1.00E-11,67.6,62
group1488,3208-5,3208-5_06270,unitig_0,97.5,40,1,0,591,630,49419,49458,6.00E-12,69.4,63
group1569,3214-11,3214-11_06789,unitig_0,100,39,0,0,373,411,49420,49458,3.00E-13,73.1,64
group1289,3213-10,3213-10_04890,unitig_0,90.53,1774,163,4,1,1773,49638,51407,0,2340,65
group1288,3215-12,3215-12_02108,unitig_0,95.89,900,37,0,1,900,51528,52427,0,1458,66
group15678,3347-141B,3347-141B_03271,unitig_0,92.86,112,8,0,7,118,52431,52542,9.00E-41,163,67
group5076,3207-4,3207-4_06401,unitig_0,97.73,44,1,0,1,44,52474,52431,5.00E-14,76.8,68
group1287,3212-9,3212-9_04547,unitig_0,95.42,1026,47,0,1,1026,53566,52541,0,1635,69
group1286,3207-4,3207-4_01655,unitig_0,97.06,1362,40,0,1,1362,53864,55225,0,2294,70
group1285,3208-5,3208-5_04344,unitig_0,96.34,1012,37,0,1,1012,55413,56424,0,1664,71
group1284,3212-9,3212-9_04544,unitig_0,94.5,1164,64,0,1,1164,56428,57591,0,1796,72
group1283,3212-9,3212-9_04543,unitig_0,96.79,1653,53,0,1,1653,57626,59278,0,2760,73
group1597,3214-11,3214-11_00513,unitig_0,73.47,1259,273,52,27,1254,57664,58892,1.00E-116,418,74
group1282,3209-6,3209-6_00752,unitig_0,94.58,1089,59,0,1,1089,59301,60389,0,1685,75
group5429,3211-8,3211-8_04935,unitig_0,74.17,720,151,29,22,722,59322,60025,3.00E-71,267,76
group2206,3214-11,3214-11_03946,unitig_0,76.93,672,132,20,50,708,59347,60008,2.00E-99,361,77
group1513,3215-12,3215-12_04399,unitig_0,77.5,560,109,16,74,623,59356,59908,3.00E-87,320,78
group4167,3215-12,3215-12_05725,unitig_0,76.35,685,132,26,64,732,59364,60034,2.00E-93,340,79
group4527,3209-6,3209-6_02395,unitig_0,75,676,132,30,64,719,59364,60022,1.00E-74,278,80
group3039,3208-5,3208-5_00689,unitig_0,72.04,626,150,23,81,692,59381,59995,5.00E-40,163,81
group4820,3214-11,3214-11_06708,unitig_0,75.27,550,105,25,79,611,59385,59920,4.00E-61,233,82
group16339,3352-145B,3352-145B_05139,unitig_0,72.89,546,113,27,88,614,59388,59917,8.00E-38,156,83
group11197,3287-92,3287-92_01051,unitig_0,88.89,54,4,2,223,275,59523,59575,1.00E-10,65.8,84
group2568,3215-12,3215-12_01094,unitig_0,97.5,40,1,0,232,271,59532,59571,1.00E-11,69.4,85
group15705,3387-160,3387-160_04312,unitig_0,76.77,508,87,26,1,491,59535,60028,5.00E-68,255,86
group14146,3294-99B,3294-99B_02546,unitig_0,74.44,403,88,15,349,742,59649,60045,6.00E-39,159,87
group1266,3212-9,3212-9_04525,unitig_0,100,31,0,0,456,486,59699,59729,2.00E-08,58.4,88
group2031,3211-8,3211-8_06426,unitig_0,76.36,330,63,15,408,728,59699,60022,5.00E-40,163,89
group4079,3210-7,3210-7_03807,unitig_0,94.87,39,2,0,414,452,59699,59737,1.00E-09,62.1,90
group976,3207-4,3207-4_04150,unitig_0,90.7,43,3,1,415,457,59700,59741,8.00E-08,56.5,91
group10326,3362-149A,3362-149A_06637,unitig_0,80.57,175,30,4,40,212,59856,60028,6.00E-31,132,92
group10145,3245-47,3245-47_06940,unitig_0,78.71,155,31,2,41,194,59857,60010,2.00E-22,102,93
group19253,3358-147C,3358-147C_02975,unitig_0,94.23,104,6,0,5,108,60389,60492,5.00E-40,159,94
group1281,3207-4,3207-4_01660,unitig_0,96.89,354,11,0,1,354,60566,60919,4.00E-170,593,95
group1280,3212-9,3212-9_04540,unitig_0,94.25,1825,103,2,1,1824,62834,61011,0,2787,96
group1279,3211-8,3211-8_00882,unitig_0,96.28,699,26,0,1,699,63610,62912,0,1147,97
group1278,3214-11,3214-11_05438,unitig_0,94.99,1477,72,2,1,1476,65096,63621,0,2316,98
group18517,3327-129,3327-129_03371,unitig_0,98.65,519,7,0,1,519,65749,65231,0,920,99
group1277,3208-5,3208-5_04336,unitig_0,93.84,1299,80,0,1,1299,66529,65231,0,1956,100
group1276,3212-9,3212-9_04536,unitig_0,94.85,1437,74,0,1,1437,67975,66539,0,2244,101
group1275,3214-11,3214-11_05441,unitig_0,92.62,1220,90,0,1,1220,68064,69283,0,1755,102
group11118,3309-114,3309-114_03355,unitig_0,97.92,144,3,0,1,144,69442,69585,4.00E-67,250,103
group1274,3213-10,3213-10_04906,unitig_0,95.34,2532,118,0,1,2532,69897,72428,0,4023,104
group5404,3210-7,3210-7_02401,unitig_0,76.01,642,128,21,1164,1792,71699,72327,1.00E-83,309,105
group430,3211-8,3211-8_05025,unitig_0,85.33,184,23,4,1778,1959,71905,72086,6.00E-47,187,106
group1273,3214-11,3214-11_05444,unitig_0,94.21,1848,107,0,1,1848,72687,74534,0,2820,107
group1623,3215-12,3215-12_05219,unitig_0,81.4,258,44,4,1236,1491,73943,74198,4.00E-53,207,108
