qseqid,group6925,group6926,group6927,group4138,group9265,group9264,group9263,group9262,group9259,group9258,group9257,group9256,group9255,group4070,group5276,group5277,group5600,group5756,group5757,group4144,group4143,group4142,group4141,group4140,group4139,group4137,group4136,group4135,group4134,group4129,group4128,group4127,group4126,group4125,group4124,group4123,group4122,group4121,group4120,group4119,group5530,group5368,group5369,group5370,group5371,group4890
group6925,1,0.690371319,0.97500925,0.545452739,0.13790893,0.094621608,0.643944713,0.315427725,0.078216439,0.303088137,0.446630521,0.326711007,0.171983917,0.003052492,0.210523068,0.056949193,0.078581478,0.145530338,0.119409587,0.096915938,0.090681783,0.633743874,0.651015206,0.575101805,0.639519658,0.685583517,0.021586108,0.001386273,0.036948421,0.020873438,0.332276379,0.090422597,0.114540552,0.060883927,0.085624121,0.103086002,0.302996724,0.050045807,0.174789474,0.157903229,0.454756481,0.422474519,0.423074616,0.259996378,0.375644706,0.574911087
group6926,0.690371319,1,0.747189496,0.746571489,0.284846713,0.15704373,0.495844004,0.313443709,0.175822815,0.29046899,0.411280097,0.404418425,0.088069862,0.00190764,0.196235379,0.074079097,0.113998672,0.08472052,0.185646321,0.177865056,0.169274242,0.803329443,0.822416465,0.752763306,0.783538886,0.795469908,0.065338764,0.005563542,0.06568121,0.055827959,0.215865848,0.113227967,0.120183345,0.077909571,0.108409573,0.107641478,0.219979376,0.099967219,0.116035846,0.102280557,0.243417211,0.424006926,0.843389275,0.809705923,0.687225575,0.297560655
group6927,0.97500925,0.747189496,1,0.545615827,0.252907327,0.180125373,0.673307909,0.391956655,0.153161444,0.365976603,0.521505438,0.341706015,0.216268584,0.009906259,0.264801589,0.092304908,0.132810827,0.120068734,0.187993016,0.166626991,0.157079109,0.600727969,0.654008883,0.551630652,0.626480977,0.688018841,0.060548176,0.005236759,0.070276916,0.047570536,0.334695085,0.11481059,0.154357461,0.087053497,0.12188117,0.129219179,0.268342245,0.073429863,0.180401493,0.179468906,0.211788118,0.505916591,0.658692993,0.524223171,0.572582306,0.636285103
group4138,0.545452739,0.746571489,0.545615827,1,0.209549158,0.121466108,0.132237043,0.171691999,0.105305853,0.171917629,0.228160128,0.238136941,0.334988945,0.001006074,0.153232068,0.106204221,0.050844664,0.282173782,0.324833557,0.13790477,0.086108247,0.410308338,0.350478897,0.825320458,0.652492773,0.506518241,0.249570392,0.130673464,0.133578323,0.104109063,0.139535167,0.098542983,0.107183077,0.087462904,0.095428649,0.310577725,0.302090411,0.398305968,0.355489172,0.306820916,0.057623815,0.10091408,0.095570087,0.091957135,0.113391629,0.099471376
group9265,0.13790893,0.284846713,0.252907327,0.209549158,1,0.883141469,0.835286762,0.776451115,0.881324651,0.798556651,0.895288997,0.770053337,0.831659706,0.004028853,0.763931925,0.809011421,0.074856018,0.13875291,0.18197483,0.131146763,0.101625175,0.056490901,0.02591602,0.168992762,0.088834165,0.058410594,0.167236888,0.08933701,0.137572486,0.081361972,0.207690023,0.092592724,0.104618461,0.092150707,0.09728241,0.187202509,0.258714699,0.226755582,0.18990546,0.173611902,0.048820526,0.61954597,0.10989878,0.10678201,0.630985151,0.311411244
group9264,0.094621608,0.15704373,0.180125373,0.121466108,0.883141469,1,0.828571692,0.748606404,0.979835364,0.821878715,0.764334168,0.699589901,0.761341934,0.004649482,0.906136917,0.946779418,0.02416919,0.052446529,0.084219237,0.045135347,0.035754707,0.03368925,0.009998292,0.09708853,0.052463309,0.027017051,0.087400248,0.071530053,0.083996867,0.055181082,0.132408092,0.049889535,0.056432232,0.046913404,0.055265996,0.06701075,0.099238055,0.088466127,0.071569438,0.063782255,0.014924576,0.734051788,0.038289455,0.037143084,0.529451676,0.334014835
group9263,0.643944713,0.495844004,0.673307909,0.132237043,0.835286762,0.828571692,1,0.912974797,0.859460652,0.887341325,0.87260791,0.805440747,0.714191624,0.003753454,0.842590818,0.841191437,0.030635474,0.14002567,0.133400262,0.053999936,0.028508233,0.117450225,0.302344686,0.254327062,0.114855841,0.12088783,0.07442228,0.048650609,0.050970551,0.033831331,0.263652569,0.041606114,0.057513219,0.030602643,0.052558547,0.078868766,0.140020919,0.114122268,0.114745342,0.118039878,0.033772733,0.666902537,0.022588124,0.017472592,0.66485932,0.316882265
group9262,0.315427725,0.313443709,0.391956655,0.171691999,0.776451115,0.748606404,0.912974797,1,0.784213032,0.892330453,0.801391014,0.737950763,0.689215083,0.004083535,0.84317877,0.78789782,0.212845108,0.367360133,0.299092683,0.181465664,0.15850675,0.215164081,0.390364595,0.262370719,0.157754362,0.20183028,0.147875438,0.036739329,0.074235781,0.063200214,0.314847039,0.09753737,0.119983548,0.072948949,0.120445534,0.094186491,0.191267525,0.133933884,0.15942968,0.196033255,0.106376901,0.652482113,0.145810023,0.126358095,0.676421173,0.395949003
group9259,0.078216439,0.175822815,0.153161444,0.105305853,0.881324651,0.979835364,0.859460652,0.784213032,1,0.860079447,0.769686499,0.728532329,0.774918701,0.004319881,0.911717805,0.954851796,0.073914007,0.059390884,0.105244773,0.068853059,0.072425622,0.048156515,0.020448152,0.075757177,0.046616944,0.03152622,0.074402879,0.06860268,0.077438261,0.045745572,0.134167813,0.045147848,0.049482286,0.037849531,0.049397847,0.078702536,0.09338277,0.079412649,0.077278355,0.07238671,0.022185261,0.741170256,0.050774645,0.046717953,0.55942442,0.343748777
group9258,0.303088137,0.29046899,0.365976603,0.171917629,0.798556651,0.821878715,0.887341325,0.892330453,0.860079447,1,0.886162328,0.800855377,0.799342973,0.004110455,0.849113337,0.788642042,0.204902793,0.296056195,0.273309723,0.138975716,0.115543027,0.155911808,0.291359856,0.25055612,0.133009769,0.147595292,0.139224513,0.070783755,0.09263993,0.079149024,0.296975799,0.103953032,0.127985157,0.067355401,0.118323861,0.096826045,0.152132701,0.144292601,0.139050613,0.168576037,0.091403758,0.694364192,0.10634074,0.086005205,0.558208374,0.385788461
