,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
1944,group3048|3356-147A|3356-147A_03121,unitig_0|quiver,99.903,2055,0,2,1,2055,2053,1,0.0,3783.0,group3048,3356-147A,3356-147A_03121
1946,group3049|3356-147A|3356-147A_03120,unitig_0|quiver,99.915,1173,0,1,1,1173,3221,2050,0.0,2159.0,group3049,3356-147A,3356-147A_03120
1948,group3050|3356-147A|3356-147A_03119,unitig_0|quiver,100.0,510,0,0,1,510,3727,3218,0.0,942.0,group3050,3356-147A,3356-147A_03119
1951,group3051|3356-147A|3356-147A_03118,unitig_0|quiver,99.819,1657,0,2,1,1656,5457,3803,0.0,3040.0,group3051,3356-147A,3356-147A_03118
1953,group3052|3356-147A|3356-147A_03117,unitig_0|quiver,99.317,879,0,3,1,879,6555,5683,0.0,1585.0,group3052,3356-147A,3356-147A_03117
1954,group3053|3356-147A|3356-147A_03116,unitig_0|quiver,100.0,387,0,0,1,387,6686,7072,0.0,715.0,group3053,3356-147A,3356-147A_03116
1956,group3054|3356-147A|3356-147A_03115,unitig_0|quiver,100.0,459,0,0,1,459,7654,7196,0.0,848.0,group3054,3356-147A,3356-147A_03115
4306,group5970|3356-147A|3356-147A_03113,unitig_0|quiver,99.424,695,0,4,1,693,8581,9273,0.0,1258.0,group5970,3356-147A,3356-147A_03113
4307,group5971|3356-147A|3356-147A_03112,unitig_0|quiver,100.0,414,0,0,1,414,9428,9841,0.0,765.0,group5971,3356-147A,3356-147A_03112
1958,group3055|3356-147A|3356-147A_03111,unitig_0|quiver,100.0,444,0,0,1,444,10060,10503,0.0,821.0,group3055,3356-147A,3356-147A_03111
1960,group3056|3356-147A|3356-147A_03110,unitig_0|quiver,100.0,933,0,0,1,933,11495,10563,0.0,1724.0,group3056,3356-147A,3356-147A_03110
1962,group3057|3356-147A|3356-147A_03109,unitig_0|quiver,100.0,174,0,0,1,174,11846,11673,1.03e-88,322.0,group3057,3356-147A,3356-147A_03109
1969,group3060|3356-147A|3356-147A_03104,unitig_0|quiver,96.875,96,3,0,796,891,12176,12081,1.35e-39,161.0,group3060,3356-147A,3356-147A_03104
1964,group3059|3356-147A|3356-147A_03105,unitig_0|quiver,100.0,210,0,0,1,210,22645,22854,1.24e-108,388.0,group3059,3356-147A,3356-147A_03105
1971,group3061|3356-147A|3356-147A_03103,unitig_0|quiver,100.0,825,0,0,1,825,23936,24760,0.0,1524.0,group3061,3356-147A,3356-147A_03103
1973,group3062|3356-147A|3356-147A_03102,unitig_0|quiver,100.0,1542,0,0,1,1542,25002,26543,0.0,2848.0,group3062,3356-147A,3356-147A_03102
1978,group3064|3356-147A|3356-147A_03100,unitig_0|quiver,94.393,107,5,1,885,991,26814,26709,4.32e-40,163.0,group3064,3356-147A,3356-147A_03100
1975,group3063|3356-147A|3356-147A_03101,unitig_0|quiver,100.0,213,0,0,1,213,27090,27302,2.71e-110,394.0,group3063,3356-147A,3356-147A_03101
909,group1943|3356-147A|3356-147A_06068,unitig_0|quiver,77.067,907,196,12,59,959,28394,27494,6.32e-145,512.0,group1943,3356-147A,3356-147A_06068
2292,group3400|3356-147A|3356-147A_03098,unitig_0|quiver,100.0,1374,0,0,1,1374,31348,29975,0.0,2538.0,group3400,3356-147A,3356-147A_03098
2293,group3401|3356-147A|3356-147A_03097,unitig_0|quiver,100.0,669,0,0,1,669,32013,31345,0.0,1236.0,group3401,3356-147A,3356-147A_03097
2294,group3402|3356-147A|3356-147A_03096,unitig_0|quiver,100.0,477,0,0,1,477,32159,32635,0.0,881.0,group3402,3356-147A,3356-147A_03096
4309,group5975|3356-147A|3356-147A_03093,unitig_0|quiver,100.0,1164,0,0,1,1164,33877,35040,0.0,2150.0,group5975,3356-147A,3356-147A_03093
2295,group3403|3356-147A|3356-147A_03092,unitig_0|quiver,100.0,987,0,0,1,987,36354,35368,0.0,1823.0,group3403,3356-147A,3356-147A_03092
2296,group3404|3356-147A|3356-147A_03091,unitig_0|quiver,100.0,537,0,0,1,537,37067,36531,0.0,992.0,group3404,3356-147A,3356-147A_03091
2297,group3405|3356-147A|3356-147A_03090,unitig_0|quiver,100.0,381,0,0,1,381,37553,37933,0.0,704.0,group3405,3356-147A,3356-147A_03090
4241,group5833|3356-147A|3356-147A_03088,unitig_0|quiver,100.0,948,0,0,1,948,38888,39835,0.0,1751.0,group5833,3356-147A,3356-147A_03088
2300,group3409|3356-147A|3356-147A_03081,unitig_0|quiver,100.0,1017,0,0,1,1017,47499,48515,0.0,1879.0,group3409,3356-147A,3356-147A_03081
2302,group3410|3356-147A|3356-147A_03080,unitig_0|quiver,100.0,1032,0,0,1,1032,48521,49552,0.0,1906.0,group3410,3356-147A,3356-147A_03080
2718,group3913|3356-147A|3356-147A_06777,unitig_0|quiver,96.875,32,1,0,433,464,50026,50057,4.09e-07,54.7,group3913,3356-147A,3356-147A_06777
4310,group5977|3356-147A|3356-147A_03078,unitig_0|quiver,100.0,621,0,0,1,621,50349,50969,0.0,1147.0,group5977,3356-147A,3356-147A_03078
2305,group3412|3356-147A|3356-147A_03077,unitig_0|quiver,100.0,498,0,0,1,498,51463,50966,0.0,920.0,group3412,3356-147A,3356-147A_03077
2306,group3413|3356-147A|3356-147A_03076,unitig_0|quiver,100.0,924,0,0,1,924,51685,52608,0.0,1707.0,group3413,3356-147A,3356-147A_03076
2307,group3414|3356-147A|3356-147A_03075,unitig_0|quiver,100.0,645,0,0,1,645,53384,52740,0.0,1192.0,group3414,3356-147A,3356-147A_03075
2308,group3415|3356-147A|3356-147A_03074,unitig_0|quiver,100.0,390,0,0,1,390,53645,54034,0.0,721.0,group3415,3356-147A,3356-147A_03074
2309,group3416|3356-147A|3356-147A_03073,unitig_0|quiver,100.0,819,0,0,1,819,54198,55016,0.0,1513.0,group3416,3356-147A,3356-147A_03073
2310,group3417|3356-147A|3356-147A_03072,unitig_0|quiver,100.0,1770,0,0,1,1770,55093,56862,0.0,3269.0,group3417,3356-147A,3356-147A_03072
2311,group3418|3356-147A|3356-147A_03071,unitig_0|quiver,100.0,714,0,0,1,714,56859,57572,0.0,1319.0,group3418,3356-147A,3356-147A_03071
2312,group3419|3356-147A|3356-147A_03070,unitig_0|quiver,100.0,720,0,0,1,720,57584,58303,0.0,1330.0,group3419,3356-147A,3356-147A_03070
2314,group3420|3356-147A|3356-147A_03069,unitig_0|quiver,100.0,366,0,0,1,366,58311,58676,0.0,676.0,group3420,3356-147A,3356-147A_03069
2315,group3421|3356-147A|3356-147A_03068,unitig_0|quiver,100.0,1038,0,0,1,1038,59775,58738,0.0,1917.0,group3421,3356-147A,3356-147A_03068
2316,group3422|3356-147A|3356-147A_03067,unitig_0|quiver,100.0,1452,0,0,1,1452,59897,61348,0.0,2682.0,group3422,3356-147A,3356-147A_03067
2317,group3423|3356-147A|3356-147A_03066,unitig_0|quiver,100.0,174,0,0,1,174,61345,61518,1.03e-88,322.0,group3423,3356-147A,3356-147A_03066
2318,group3424|3356-147A|3356-147A_03065,unitig_0|quiver,100.0,1989,0,0,1,1989,61595,63583,0.0,3674.0,group3424,3356-147A,3356-147A_03065
