,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
4627,group8495|3206-3|3206-3_00709,unitig_0_chrom|quiver,99.918,1215,0,1,1,1215,137,1350,0.0,2237.0,group8495,3206-3,3206-3_00709
1673,group2593|3206-3|3206-3_00708,unitig_0_chrom|quiver,100.0,1266,0,0,1,1266,1475,2740,0.0,2338.0,group2593,3206-3,3206-3_00708
615,group1612|3206-3|3206-3_00707,unitig_0_chrom|quiver,100.0,987,0,0,1,987,3950,2964,0.0,1823.0,group1612,3206-3,3206-3_00707
613,group1611|3206-3|3206-3_00706,unitig_0_chrom|quiver,100.0,585,0,0,1,585,4072,4656,0.0,1081.0,group1611,3206-3,3206-3_00706
611,group1610|3206-3|3206-3_00705,unitig_0_chrom|quiver,100.0,684,0,0,1,684,4964,5647,0.0,1264.0,group1610,3206-3,3206-3_00705
609,group1609|3206-3|3206-3_00704,unitig_0_chrom|quiver,100.0,1422,0,0,1,1422,5666,7087,0.0,2627.0,group1609,3206-3,3206-3_00704
2743,group3815|3206-3|3206-3_05345,unitig_0_chrom|quiver,97.778,45,0,1,532,576,7242,7285,9.43e-14,76.8,group3815,3206-3,3206-3_05345
607,group1608|3206-3|3206-3_00703,unitig_0_chrom|quiver,100.0,438,0,0,1,438,7757,7320,0.0,809.0,group1608,3206-3,3206-3_00703
605,group1607|3206-3|3206-3_00702,unitig_0_chrom|quiver,100.0,1014,0,0,1,1014,7919,8932,0.0,1873.0,group1607,3206-3,3206-3_00702
604,group1606|3206-3|3206-3_00701,unitig_0_chrom|quiver,100.0,1185,0,0,1,1185,10123,8939,0.0,2189.0,group1606,3206-3,3206-3_00701
603,group1605|3206-3|3206-3_00700,unitig_0_chrom|quiver,100.0,1041,0,0,1,1041,11406,10366,0.0,1923.0,group1605,3206-3,3206-3_00700
602,group1604|3206-3|3206-3_00699,unitig_0_chrom|quiver,100.0,192,0,0,1,192,11839,12030,1.18e-98,355.0,group1604,3206-3,3206-3_00699
601,group1603|3206-3|3206-3_00697,unitig_0_chrom|quiver,100.0,921,0,0,1,921,13190,12270,0.0,1701.0,group1603,3206-3,3206-3_00697
600,group1602|3206-3|3206-3_00696,unitig_0_chrom|quiver,100.0,987,0,0,1,987,14395,13409,0.0,1823.0,group1602,3206-3,3206-3_00696
599,group1601|3206-3|3206-3_00695,unitig_0_chrom|quiver,100.0,1008,0,0,1,1008,15395,14388,0.0,1862.0,group1601,3206-3,3206-3_00695
598,group1600|3206-3|3206-3_00694,unitig_0_chrom|quiver,100.0,918,0,0,1,918,16315,15398,0.0,1696.0,group1600,3206-3,3206-3_00694
597,group1599|3206-3|3206-3_00693,unitig_0_chrom|quiver,100.0,924,0,0,1,924,17235,16312,0.0,1707.0,group1599,3206-3,3206-3_00693
596,group1598|3206-3|3206-3_00692,unitig_0_chrom|quiver,100.0,1581,0,0,1,1581,18864,17284,0.0,2920.0,group1598,3206-3,3206-3_00692
595,group1597|3206-3|3206-3_00691,unitig_0_chrom|quiver,100.0,1647,0,0,1,1647,19151,20797,0.0,3042.0,group1597,3206-3,3206-3_00691
594,group1596|3206-3|3206-3_00689,unitig_0_chrom|quiver,100.0,1698,0,0,1,1698,23006,21309,0.0,3136.0,group1596,3206-3,3206-3_00689
593,group1595|3206-3|3206-3_00688,unitig_0_chrom|quiver,100.0,1104,0,0,1,1104,24229,23126,0.0,2039.0,group1595,3206-3,3206-3_00688
592,group1594|3206-3|3206-3_00687,unitig_0_chrom|quiver,100.0,915,0,0,1,915,24711,25625,0.0,1690.0,group1594,3206-3,3206-3_00687
591,group1593|3206-3|3206-3_00686,unitig_0_chrom|quiver,100.0,1326,0,0,1,1326,27132,25807,0.0,2449.0,group1593,3206-3,3206-3_00686
