,Function,bp_start,contig,gene,plasmid
0,[ ' Q1M8K6_RHIL3 Putative coenzyme A transferase OS=Rhizobium leguminosarum bv. '],76477,3206-3_05994,group4710,unitig_4_pRL9|quiver
1,[' ****** No hits found ****** '],273950,3206-3_03138,group6705,unitig_3_pRL10|quiver
2,[ ' Q1MGD5_RHIL3 Putative isoquinoline 1-oxidoreductase beta subunit OS=Rhizobium '],1465976,3206-3_06485,group6695,unitig_0_chrom|quiver
3,[' Q1M6B5_RHIL3 Putative HTH-type transcriptional regulator OS=Rhizobium '],267309,3206-3_01395,group6678,unitig_2_pRL11|quiver
4,[ ' Q1M6B4_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],267541,3206-3_01394,group6677,unitig_2_pRL11|quiver
5,[ ' Q1MGU4_RHIL3 Putative AraC family transcriptional regulator OS=Rhizobium '],1494427,3206-3_04945,group2554,unitig_0_chrom|quiver
6,[ ' Q1MLY4_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],3299193,3206-3_01644,group9221,unitig_0_chrom|quiver
7,[ ' Q1MLY5_RHIL3 Putative MarR family transcriptional regulator OS=Rhizobium '],3299321,3206-3_01645,group9222,unitig_0_chrom|quiver
8,[ ' NUOB_RHIL3 NADH-quinone oxidoreductase subunit B OS=Rhizobium leguminosarum '],2004563,3206-3_02264,group1749,unitig_0_chrom|quiver
9,[ ' Q1M4U2_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. viciae '],505686,3206-3_04169,group6901,unitig_1_pRL12|quiver
10,[],547765,3206-3_01141,group14,unitig_2_pRL11|quiver
11,[ ' Q1M4Z6_RHIL3 Putative aldo-keto reductase/oxidase OS=Rhizobium leguminosarum bv. '],570375,3206-3_04224,group4928,unitig_1_pRL12|quiver
12,[ ' Q1M4Z7_RHIL3 Putative short-chain aldo-keto oxidoreductase OS=Rhizobium '],571408,3206-3_04225,group4927,unitig_1_pRL12|quiver
13,[ ' Q1M4Z8_RHIL3 Putative UDP-glucose 4-epimerase OS=Rhizobium leguminosarum bv. '],572357,3206-3_04226,group4926,unitig_1_pRL12|quiver
14,[ ' Q1M4Z9_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium '],573379,3206-3_04227,group4925,unitig_1_pRL12|quiver
15,[ ' Q1M663_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],332463,3206-3_01338,group3760,unitig_2_pRL11|quiver
16,[ ' Q1M4B8_RHIL3 Putative small heat shock protein OS=Rhizobium leguminosarum bv. '],287873,3206-3_03979,group8602,unitig_1_pRL12|quiver
17,[ ' Q1M4Z4_RHIL3 Putative exported binding protein transporter component OS=Rhizobium '],566789,3206-3_04221,group4930,unitig_1_pRL12|quiver
18,[ ' Q1M4Z3_RHIL3 Putative transmembrane component of transporter OS=Rhizobium '],565482,3206-3_04220,group4931,unitig_1_pRL12|quiver
19,[' Q1M4Z2_RHIL3 Putative transmembrane transporter component OS=Rhizobium '],564526,3206-3_04219,group4932,unitig_1_pRL12|quiver
20,[ ' Q1M4Z1_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],563700,3206-3_04218,group4933,unitig_1_pRL12|quiver
21,[ ' Q1M4Z0_RHIL3 Putative transcriptional regulator OS=Rhizobium leguminosarum bv. '],561508,3206-3_04217,group4934,unitig_1_pRL12|quiver
22,[ ' Q1M4Y8_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],559336,3206-3_04215,group4936,unitig_1_pRL12|quiver
23,[ ' Q1M4S3_RHIL3 Putative transmembrane transporter OS=Rhizobium leguminosarum bv. '],567840,3206-3_04150,group7008,unitig_1_pRL12|quiver
24,[],4711624,3206-3_05238,group432,unitig_0_chrom|quiver
25,[ ' Q1M4S6_RHIL3 Putative alcohol dehydrogenase OS=Rhizobium leguminosarum bv. '],486139,3206-3_04153,group10076,unitig_1_pRL12|quiver
26,[ ' Q1MGK6_RHIL3 Probable peptidase/protease OS=Rhizobium leguminosarum bv. viciae '],1388838,3206-3_06559,group5524,unitig_0_chrom|quiver
27,[ ' Q1MFG6_RHIL3 Putative FNR family transcriptional regulator OS=Rhizobium '],800582,3206-3_06319,group2056,unitig_0_chrom|quiver
28,[ ' Q1MKR6_RHIL3 Putative peptidase OS=Rhizobium leguminosarum bv. viciae (strain '],2824286,3206-3_07464,group5082,unitig_0_chrom|quiver
29,[' Q1M7X0_RHIL3 Nodulation protein D (LysR type regulator) OS=Rhizobium '],219270,3206-3_05559,group4138,unitig_5_pRL7a_nodD|quiver
30,[ ' Q1MNC9_RHIL3 Putative nucleotidyltransferase protein OS=Rhizobium leguminosarum '],31517,3206-3_07167,group9265,unitig_5_pRL7a_nodD|quiver
31,[' ****** No hits found ****** '],32388,3206-3_07168,group9264,unitig_5_pRL7a_nodD|quiver
32,[ ' Q1MJ33_RHIL3 Putative phosphatidylserine synthase OS=Rhizobium leguminosarum bv. '],33456,3206-3_07169,group9263,unitig_5_pRL7a_nodD|quiver
33,[' ****** No hits found ****** '],34306,3206-3_07170,group9262,unitig_5_pRL7a_nodD|quiver
34,[ ' Q1MDY8_RHIL3 Putative transmembrane component of ABC transporter OS=Rhizobium '],37714,3206-3_07173,group9259,unitig_5_pRL7a_nodD|quiver
35,[ ' Q1MDY9_RHIL3 Putative transmembrane component of ABC transporter OS=Rhizobium '],38634,3206-3_07174,group9258,unitig_5_pRL7a_nodD|quiver
