,Function,bp_start,contig,gene,plasmid
0,[ ' Q1MCG1_RHIL3 Putative transmembrane component of ABC transporter OS=Rhizobium '],447382,3356-147A_06578,group6759,unitig_4|quiver
1,[ ' Q1MDY7_RHIL3 Putative ATP-binding component of ABC transporter OS=Rhizobium '],448182,3356-147A_06579,group4419,unitig_4|quiver
2,[' ****** No hits found ****** '],449388,3356-147A_06580,group6758,unitig_4|quiver
3,[ ' Q1MFD3_RHIL3 Putative methyltransferase OS=Rhizobium leguminosarum bv. viciae '],450299,3356-147A_06581,group6757,unitig_4|quiver
4,[ ' Q1MBA7_RHIL3 Putative amidohydrolase OS=Rhizobium leguminosarum bv. viciae '],450949,3356-147A_06582,group6756,unitig_4|quiver
5,[ ' Q1M366_RHIL3 Putative ornithine cyclodeaminase OS=Rhizobium leguminosarum bv. '],452172,3356-147A_06583,group6755,unitig_4|quiver
6,[ ' Q1M6K7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],453252,3356-147A_06584,group6754,unitig_4|quiver
7,[ ' Q1MIX1_RHIL3 Putative phosphonate metabolism protein OS=Rhizobium leguminosarum '],456143,3356-147A_06585,group6753,unitig_4|quiver
8,[' Q1MBJ6_RHIL3 Putative two-component response regulator transcriptional '],457459,3356-147A_06587,group6752,unitig_4|quiver
9,[' ****** No hits found ****** '],459979,3356-147A_06589,group6751,unitig_4|quiver
10,[ ' Q1MBW7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],461486,3356-147A_06590,group6750,unitig_4|quiver
11,[ ' Q1M736_RHIL3 Putative replication protein A OS=Rhizobium leguminosarum bv. viciae '],478579,3356-147A_06605,group5676,unitig_4|quiver
12,[ ' Q1M8C3_RHIL3 Putative RepB replication protein OS=Rhizobium leguminosarum bv. '],479793,3356-147A_06606,group5675,unitig_4|quiver
13,[ ' Q1M8C2_RHIL3 Putative RepC replication protein OS=Rhizobium leguminosarum bv. '],481132,3356-147A_06607,group5674,unitig_4|quiver
14,[' ****** No hits found ****** '],484060,3356-147A_06608,group6747,unitig_4|quiver
15,[' ****** No hits found ****** '],485426,3356-147A_06609,group6746,unitig_4|quiver
16,[ ' Q1M8K6_RHIL3 Putative coenzyme A transferase OS=Rhizobium leguminosarum bv. '],3183042,3356-147A_06905,group4710,unitig_0|quiver
17,[' ****** No hits found ****** '],89685,3356-147A_06733,group6704,unitig_4|quiver
18,[' ****** No hits found ****** '],89991,3356-147A_06734,group6703,unitig_4|quiver
19,[ ' Q1MGR6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],1932340,3356-147A_05664,group6605,unitig_0|quiver
20,[ ' Q1M4P0_RHIL3 Putative MarR family transcriptional regulator OS=Rhizobium '],91431,3356-147A_06735,group6702,unitig_4|quiver
21,[' ****** No hits found ****** '],92594,3356-147A_06736,group6701,unitig_4|quiver
22,[ ' Q1M7F1_RHIL3 Putative isochorismatase OS=Rhizobium leguminosarum bv. viciae '],93281,3356-147A_06737,group6700,unitig_4|quiver
23,[ ' Q1M552_RHIL3 Putative arylmalonate decarboxylase OS=Rhizobium leguminosarum bv. '],94092,3356-147A_06738,group6699,unitig_4|quiver
24,[ ' Q1MN42_RHIL3 Putative oxidoreductase OS=Rhizobium leguminosarum bv. viciae '],94980,3356-147A_06739,group6698,unitig_4|quiver
25,[ ' Q1M9I4_RHIL3 Putative iron-sulphur cluster carbon monooxide dehydrogenase '],96465,3356-147A_06742,group2570,unitig_4|quiver
26,[ ' Q1MGD5_RHIL3 Putative isoquinoline 1-oxidoreductase beta subunit OS=Rhizobium '],96986,3356-147A_06743,group6695,unitig_4|quiver
27,[' ****** No hits found ****** '],100537,3356-147A_06744,group6694,unitig_4|quiver
28,[' ****** No hits found ****** '],103239,3356-147A_06745,group6693,unitig_4|quiver
29,[ ' Q1ML96_RHIL3 Putrescine-binding periplasmic protein OS=Rhizobium leguminosarum '],105840,3356-147A_06746,group6692,unitig_4|quiver
30,[ ' Q1ML94_RHIL3 Probable putrescine transport system permease protein OS=Rhizobium '],106906,3356-147A_06747,group6691,unitig_4|quiver
31,[ ' Q1ML93_RHIL3 Probable putrescine transport system permease protein OS=Rhizobium '],107831,3356-147A_06748,group6690,unitig_4|quiver
32,[ ' Q1M7D9_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],109646,3356-147A_06750,group6688,unitig_4|quiver
33,[' Q1M3W2_RHIL3 Putative MarR family transcriptional regulatory protein '],110301,3356-147A_06751,group6687,unitig_4|quiver
34,[ ' Q1M4B6_RHIL3 Putative beta-glucosidase protein OS=Rhizobium leguminosarum bv. '],110814,3356-147A_06752,group6686,unitig_4|quiver
35,[' ****** No hits found ****** '],113173,3356-147A_06753,group6685,unitig_4|quiver
36,[ ' Q1M4G1_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],113502,3356-147A_06754,group6684,unitig_4|quiver
37,[ ' Q1M4G2_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],114387,3356-147A_06755,group6683,unitig_4|quiver
38,[' Q1M6B5_RHIL3 Putative HTH-type transcriptional regulator OS=Rhizobium '],141980,3356-147A_06397,group6678,unitig_4|quiver
39,[ ' Q1M6B4_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],142230,3356-147A_06398,group6677,unitig_4|quiver
40,[ ' Q1M3R8_RHIL3 Putative MFS family transporter protein OS=Rhizobium leguminosarum '],149810,3356-147A_06404,group6673,unitig_4|quiver
41,[' ****** No hits found ****** '],151955,3356-147A_06406,group6672,unitig_4|quiver
42,[ ' NUOB_RHIL3 NADH-quinone oxidoreductase subunit B OS=Rhizobium leguminosarum '],1388682,3356-147A_04862,group1749,unitig_0|quiver
43,[ ' Q1M4U2_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. viciae '],182097,3356-147A_06435,group6901,unitig_4|quiver
44,[],679213,3356-147A_00998,group14,unitig_3|quiver
45,[ ' Q1M4Z6_RHIL3 Putative aldo-keto reductase/oxidase OS=Rhizobium leguminosarum bv. '],186363,3356-147A_06437,group4928,unitig_4|quiver
46,[ ' Q1M4Z7_RHIL3 Putative short-chain aldo-keto oxidoreductase OS=Rhizobium '],187395,3356-147A_06438,group4927,unitig_4|quiver
47,[ ' Q1M4Z9_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium '],189364,3356-147A_06440,group4925,unitig_4|quiver
48,[ ' Q1M663_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],191385,3356-147A_07064,group3760,unitig_4|quiver
49,[ ' Q1M4B8_RHIL3 Putative small heat shock protein OS=Rhizobium leguminosarum bv. '],191970,3356-147A_07062,group8602,unitig_4|quiver
50,[' ****** No hits found ****** '],193098,3356-147A_07061,group6903,unitig_4|quiver
51,[' ****** No hits found ****** '],196662,3356-147A_07054,group6932,unitig_4|quiver
52,[' Q1M4Z2_RHIL3 Putative transmembrane transporter component OS=Rhizobium '],205544,3356-147A_07044,group4932,unitig_4|quiver
53,[ ' Q1M4Z1_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],206316,3356-147A_07043,group4933,unitig_4|quiver
54,[ ' Q1M4Z0_RHIL3 Putative transcriptional regulator OS=Rhizobium leguminosarum bv. '],208507,3356-147A_07041,group4934,unitig_4|quiver
55,[ ' Q1M4Y8_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain '],210678,3356-147A_07039,group4936,unitig_4|quiver
56,[ ' Q1M4S3_RHIL3 Putative transmembrane transporter OS=Rhizobium leguminosarum bv. '],214480,3356-147A_07037,group7008,unitig_4|quiver
57,[],215064,3356-147A_07036,group432,unitig_4|quiver
58,[ ' Q1MC54_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],215294,3356-147A_07035,group6864,unitig_4|quiver
59,[' ****** No hits found ****** '],223921,3356-147A_06846,group9364,unitig_4|quiver
60,[' ****** No hits found ****** '],216337,3356-147A_07034,group6863,unitig_4|quiver
61,[ ' Q1M6S4_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],227042,3356-147A_06849,group6860,unitig_4|quiver
62,[ ' Q1MB48_RHIL3 Putative DNAJ chaperone family protein OS=Rhizobium leguminosarum '],235927,3356-147A_06854,group6859,unitig_4|quiver
63,[ ' Q1M8L4_RHIL3 Putative transcriptional regulator OS=Rhizobium leguminosarum bv. '],428320,3356-147A_06878,group5602,unitig_4|quiver
64,[ ' Q1MA39_RHIL3 Carbonic anhydrase OS=Rhizobium leguminosarum bv. viciae (strain '],429944,3356-147A_07201,group6765,unitig_4|quiver
65,[' ****** No hits found ****** '],430653,3356-147A_07202,group6764,unitig_4|quiver
66,[ ' Q1M4S6_RHIL3 Putative alcohol dehydrogenase OS=Rhizobium leguminosarum bv. '],163646,3356-147A_06419,group10076,unitig_4|quiver
67,[' ****** No hits found ****** '],337054,3356-147A_07269,group6925,unitig_4|quiver
68,[ ' Q1M6F7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae '],337283,3356-147A_07268,group6926,unitig_4|quiver
69,[ ' Q1MGK6_RHIL3 Probable peptidase/protease OS=Rhizobium leguminosarum bv. viciae '],65292,3356-147A_07267,group6927,unitig_4|quiver
