Gene_Group;Annotation;Members
1003; Q1MEB7_RHIL3 Pyridoxine ;199
1004; Q1MEB6_RHIL3 Putative nodulation protein OS=Rhizobium leguminosarum bv. viciae ;199
1010; Q1MEB0_RHIL3 Putative transmembrane transporter OS=Rhizobium leguminosarum bv. ;199
1012; Q1MEA8_RHIL3 Putative MarR family transcriptional regulator OS=Rhizobium ;199
1014; Q1MEA6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1015; Q1MEA5_RHIL3 Putative lipoprotein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1016; Q1MEA4_RHIL3 Putative RNA polymerase ECF sigma factor OS=Rhizobium leguminosarum ;199
1018; Q1MEA2_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1020; Q1MEA0_RHIL3 Putative high-molecular weight cobalt-containing nitrile hydratase ;199
1021; Q1ME99_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. viciae ;199
1022; Q1ME98_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1023; Q1ME97_RHIL3 Putative transmembrane transporter protein OS=Rhizobium ;199
1026; Q1ME94_RHIL3 Acetolactate synthase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1028; Q1ME92_RHIL3 Similar to dihydrodipicolinate synthase OS=Rhizobium leguminosarum ;199
1029; Q1ME91_RHIL3 Putative transmembrane efflux protein OS=Rhizobium leguminosarum ;199
1030; Q1ME90_RHIL3 Putative GntR family transcriptional regulator OS=Rhizobium ;199
1036; Q1ME83_RHIL3 Dihydrofolate reductase OS=Rhizobium leguminosarum bv. viciae ;199
1038; Q1MH96_RHIL3 Putative cell division protein OS=Rhizobium leguminosarum bv. viciae ;199
1039; ENO_RHIL3 Enolase OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=eno ;199
1043; Q1MH40_RHIL3 Putative transmembrane DNA uptake competence-related protein ;199
1048; FABZ_RHIL3 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ OS=Rhizobium ;199
1049; LPXD_RHIL3 UDP-3-O-acylglucosamine N-acyltransferase OS=Rhizobium leguminosarum ;199
1050; Q1MH47_RHIL3 Outer membrane protein assembly factor BamA OS=Rhizobium ;199
1051; Q1MH48_RHIL3 Zinc metalloprotease OS=Rhizobium leguminosarum bv. viciae (strain ;199
1052; Q1MH49_RHIL3 Phosphatidate cytidylyltransferase OS=Rhizobium leguminosarum bv. ;199
1053; Q1MH50_RHIL3 Isoprenyl transferase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1054; RRF_RHIL3 Ribosome-recycling factor OS=Rhizobium leguminosarum bv. viciae ;199
1055; PYRH_RHIL3 Uridylate kinase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1056; EFTS_RHIL3 Elongation factor Ts OS=Rhizobium leguminosarum bv. viciae (strain ;199
1058; Q1MH56_RHIL3 Conserved hypothetical exported protein OS=Rhizobium leguminosarum ;199
1059; Q1MH57_RHIL3 Putative endoribonuclease-L-PSP family protein OS=Rhizobium ;199
1060; Q1MH58_RHIL3 Putative glycerophosphoryl diester phosphodiesterase OS=Rhizobium ;199
1061; Q1MH59_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1063; Q1MH61_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1065; Q1MH63_RHIL3 ATP-dependent Clp protease adapter protein ClpS OS=Rhizobium ;199
1066; Q1MH64_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1067; Q1MH65_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1068; Q1MH66_RHIL3 Putative serine acetyltransferase OS=Rhizobium leguminosarum bv. ;199
1069; Q1MH67_RHIL3 Putative hydrolase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1070; Q1MH68_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1077; Q1MH75_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1083; Q1MHG7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1085; Q1MHG9_RHIL3 Putative cold shock protein OS=Rhizobium leguminosarum bv. viciae ;199
1088; Q1MHH2_RHIL3 Putative single-stranded-DNA-specific exonuclease OS=Rhizobium ;199
1089; Q1MHH3_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1091; Q1MHH5_RHIL3 Aminotransferase OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1092; Q1MHH6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1093; Q1MHH7_RHIL3 Putative poly(3-hydroxyalkanoate) polymerase (PHA synthase) ;199
1094; Q1MHH8_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1095; Q1MHH9_RHIL3 Putative aspartate aminotransferase OS=Rhizobium leguminosarum bv. ;199
1098; Q1MHI2_RHIL3 Putative biotin carboxyl carrier protein of acetyl-CoA carboxylase ;199
1101; Q1MHI5_RHIL3 Conserved hypothetical exported protein OS=Rhizobium leguminosarum ;199
1107; Q1MHJ1_RHIL3 Putative acetyltransferase OS=Rhizobium leguminosarum bv. viciae ;199
1111; GATA_RHIL3 Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Rhizobium ;199
1112; GATC_RHIL3 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C ;199
1114; YQGF_RHIL3 Putative pre-16S rRNA nuclease OS=Rhizobium leguminosarum bv. ;199
1115; Q1MHJ9_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1116; Q1MHK0_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1117; Q1MHK1_RHIL3 Putative TetR family transcriptional regulator OS=Rhizobium ;199
1121; Q1MHK6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1123; Q1MHK8_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1124; TIG_RHIL3 Trigger factor OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1126; Q1MHL1_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. viciae ;199
1130; Q1MHL3_RHIL3 Conserved hypothetical exported protein OS=Rhizobium leguminosarum ;199
1131; Q1MHL4_RHIL3 Putative phytoene synthase OS=Rhizobium leguminosarum bv. viciae ;199
1132; Q1MHL5_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1134; Q1MHL7_RHIL3 Putative Sec translocase associated protein OS=Rhizobium ;199
1136; Q1MHL9_RHIL3 Putative peptidase OS=Rhizobium leguminosarum bv. viciae (strain ;199
